work,productAge,productName
0,33.13885033141204,"""It's going to rain"""
0,368.9711302399306,life time
0,18.18157082359954,Project Orlean (inactive)
0,0.7026661793287037,OKVaper
0,345.6489406332523,floral silence
0,18.077689977233796,B-Card
0,215.02549717202547,Purple Meadow
0,22.310765639780094,Mellow-D
0,367.3955773932986,Icon Care
0,18.941988825069444,Math Magazine
0,356.14104157435185,Capture
0,96.80883706604166,Prize Coin
0,368.0538896794792,Book Binding
3,60.138993465520834,Backboard
0,22.309203185763888,Uber Share
3,4.7072962946296295,Subscriptions
0,202.7276976732639,Freight Finder
0,356.13797765083336,Divvy Up
0,353.0379101675463,Twitter Customer service
0,360.53176625525464,drophotos
0,40.00604737765046,STYLMEUP
0,123.77113637956019,nodegear
0,68.33841256481482,Shivi Kashyap
0,32.295718406087964,Cockpit
0,366.84029376219905,purple sky
0,321.0739528454282,EasyPress
0,272.61182286546295,Plundr
1,68.96119989733796,Hermit Guard
0,359.9873168710995,Bray's Closet
0,368.6867416809838,Laymans Weather
0,76.38352550958332,PageWeb
0,33.56637219758102,ChatonFly
0,276.07966724524306,Social List
0,358.3843150140162,long wave
0,18.02318721037037,CryptoVerbs
0,14.795680590833333,shoutntime
0,28.485266916527777,tone & alert planner
11,52.88202235614583,Coffee Memo
0,45.19247543179398,Testament
0,259.8421369596181,​Little Bird Whispers
0,22.897448593425928,ReadSync
2,353.13407147736115,Barrtr
0,290.8816289952199,Lloyd
0,349.32091234246525,gyro-lock
0,154.95232642061342,Dashing Ham
21,42.851552224236116,visitMee
0,22.306933476203703,KhanQuestions
11,258.033350820868,Monocle
0,19.876263358530093,"""><img src=x onerror=alert(document.domain)>"
0,49.95790211280092,test0
0,363.20669989232636,DoorMan -or- BouncR -or- PortR
0,34.908403514814815,Meowboard
0,322.1930670746528,Sand art
0,371.8442383071759,Tripmine
0,16.273658075983796,BrewLocal
0,350.0677665710995,First Track
0,59.03961386668982,Virtual Coop
0,29.053335866886574,Grab
0,355.971314945868,Car owner support
0,144.09877286800926,RoundUp
0,17.208177316574073,Test
0,59.05592883670139,Whimsee
0,306.54162384076386,Expertify.me
0,4.166200164212963,cyber•Fund
0,371.86205274,WashingVillage
0,368.01638340405094,Syncstream
0,349.63321956469906,Privy
0,359.84346787208335,PresentationGift
0,18.01491964210648,PWYW
0,6.201709405011575,Origami
0,240.9566998772917,Face'em
0,89.91164214552084,Boardstreet
0,361.0563933873033,ResrchR
0,363.79775819254627,Storepedo
0,367.65833955040506,purple water
0,359.02893297265047,Outvite
0,123.74630848380787,Dark Brook
0,284.2695599938889,smartfolks
0,329.20384841506944,Triumph
1,17.965787014675925,Nomad
0,22.837454381284722,TeetimeTrader
0,298.4180767472801,Planne'd
0,22.266418372222223,Summarizer
0,13.882413798587963,Phonetical
0,353.8781807270139,The Hub
0,6.941743761875,Shout in a Hole
0,57.03800637106481,flow
0,62.45842656123842,Kickoff
0,446.74616019973377,Follow Roulette
0,368.8564911819444,Holy ham samiches
0,27.364059774629627,Pen Drive Recovery Software
0,25.940058034872685,Music News
0,287.3682256459491,NoteSinger
0,42.68085981627315,Inline Media
